清单编码(9位),完整编码,项目名称,二级分类,三级分类,是否已映射,映射材料名,匹配类型,相似度,备注
031101023,031101023,波分复用设备,通信设备及线路工程,有线通信设备,否,,,,待补全
031101024,031101024,光分插复用器(OADM),通信设备及线路工程,有线通信设备,否,,,,待补全
031101025,031101025,光波长转换器(OTU),通信设备及线路工程,有线通信设备,否,,,,待补全
031101026,031101026,光线路放大器(OLA),通信设备及线路工程,有线通信设备,否,,,,待补全
031101027,031101027,再生中继架,通信设备及线路工程,有线通信设备,否,,,,待补全
031101028,031101028,远供电源架,通信设备及线路工程,有线通信设备,否,,,,待补全
031101029,031101029,网络管理系统,通信设备及线路工程,有线通信设备,否,,,,待补全
031101030,031101030,数字公务系统运行试验,通信设备及线路工程,有线通信设备,否,,,,待补全
031103001,031103001,水泥管道,通信设备及线路工程,通信线路,否,,,,待补全
031103002,031103002,小口径塑料管道,通信设备及线路工程,通信线路,否,,,,待补全
031103003,031103003,通信光(电)缆通道,通信设备及线路工程,通信线路,否,,,,待补全
031103004,031103004,地下定向钻孔敷管,通信设备及线路工程,通信线路,否,,,,待补全
031103005,031103005,电杆附属装置,通信设备及线路工程,通信线路,否,,,,待补全
031103006,031103006,人工敷设塑料子管,通信设备及线路工程,通信线路,否,,,,待补全
031103007,031103007,架空吊线,通信设备及线路工程,通信线路,否,,,,待补全
031103008,031103008,光缆,通信设备及线路工程,通信线路,否,,,,待补全
031103009,031103009,电缆,通信设备及线路工程,通信线路,否,,,,待补全
031103010,031103010,光缆接续,通信设备及线路工程,通信线路,否,,,,待补全
031103011,031103011,光缆成端接头,通信设备及线路工程,通信线路,否,,,,待补全
031103012,031103012,光缆中继段测试,通信设备及线路工程,通信线路,否,,,,待补全
031103013,031103013,用户光缆测试,通信设备及线路工程,通信线路,否,,,,待补全
031103014,031103014,光纤链路测试,通信设备及线路工程,通信线路,否,,,,待补全
031103015,031103015,电缆芯线接续、改接,通信设备及线路工程,通信线路,否,,,,待补全
031103016,031103016,堵塞成端套管,通信设备及线路工程,通信线路,否,,,,待补全
031103017,031103017,充油膏套管接续,通信设备及线路工程,通信线路,否,,,,待补全
031103018,031103018,封焊热可缩套(包)管,通信设备及线路工程,通信线路,否,,,,待补全
031103019,031103019,包式塑料电缆套管,通信设备及线路工程,通信线路,否,,,,待补全
031103020,031103020,热可缩套管气闭头,通信设备及线路工程,通信线路,否,,,,待补全
031103021,031103021,电缆全程测试,通信设备及线路工程,通信线路,否,,,,待补全
031103022,031103022,进线室承托铁架,通信设备及线路工程,通信线路,是,进线柜,fuzzy_name,72.0,
031103023,031103023,托架,通信设备及线路工程,通信线路,否,,,,待补全
031103024,031103024,固定光缆盘,通信设备及线路工程,通信线路,否,,,,待补全
031103025,031103025,交接箱,通信设备及线路工程,通信线路,否,,,,待补全
031103026,031103026,配线箱,通信设备及线路工程,通信线路,是,二级分配箱,fuzzy_name,72.0,
031103027,031103027,光分路器,通信设备及线路工程,通信线路,否,,,,待补全
031103028,031103028,终端盒、过线盒,通信设备及线路工程,通信线路,是,接线盒,fuzzy_name,72.0,
031103029,031103029,充气设备,通信设备及线路工程,通信线路,否,,,,待补全
031103030,031103030,电缆全程充气,通信设备及线路工程,通信线路,否,,,,待补全
030704001,030704001,通风工程检测、调试,通风空调工程,通风工程检测、调试、试验,否,,,,待补全
030704002,030704002,人防通风气密性试验,通风空调工程,通风工程检测、调试、试验,否,,,,待补全
030701001,030701001,空气加热器(冷却器),通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701002,030701002,除尘设备,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701003,030701003,空调器,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701004,030701004,风机盘管,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701005,030701005,表冷器,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701006,030701006,密闭门,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701007,030701007,挡水板,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701008,030701008,滤水器、溢水盘,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701009,030701009,金属壳体,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701010,030701010,过滤器,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701011,030701011,净化工作台,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701012,030701012,风淋室,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701013,030701013,洁净室,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701014,030701014,除湿机,通风空调工程,通风空调设备及部件制作安装,是,除湿机,exact_name,100.0,
030701015,030701015,人防过滤吸收器,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701016,030701016,油烟净化装置,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030701017,030701017,变风量末端装置,通风空调工程,通风空调设备及部件制作安装,否,,,,待补全
030702001,030702001,碳钢通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702002,030702002,净化通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702003,030702003,不锈钢板通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702004,030702004,铝板通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702005,030702005,塑料通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702006,030702006,玻璃钢通风管道,通风空调工程,通风管道制作安装,否,,,,待补全
030702007,030702007,复合型风管,通风空调工程,通风管道制作安装,否,,,,待补全
030702008,030702008,柔性软风管,通风空调工程,通风管道制作安装,否,,,,待补全
030702009,030702009,弯头导流叶片,通风空调工程,通风管道制作安装,否,,,,待补全
030702010,030702010,风管检查孔,通风空调工程,通风管道制作安装,否,,,,待补全
030702011,030702011,温度、风量测定孔,通风空调工程,通风管道制作安装,否,,,,待补全
030703001,030703001,碳钢阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703002,030703002,柔性软风管阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703003,030703003,铝质阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703004,030703004,不锈钢阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703005,030703005,塑料阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703006,030703006,玻璃钢阀门,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703007,030703007,碳钢风口、散流器、百叶窗,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703008,030703008,不锈钢风口、散流器、百叶窗,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703009,030703009,塑料风口、散流器、百叶窗,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703010,030703010,玻璃钢风口,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703011,030703011,铝及铝合金风口、散流器,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703012,030703012,碳钢风帽,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703013,030703013,不锈钢风帽,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703014,030703014,塑料风帽,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703015,030703015,铝板伞形风帽,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703016,030703016,玻璃钢风帽,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703017,030703017,碳钢罩类,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703018,030703018,塑料罩类,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703019,030703019,柔性接口,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703020,030703020,消声器,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703021,030703021,静压箱,通风空调工程,通风管道部件制作安装,否,,,,待补全
030703022,030703022,人防超压自动排气阀,通风空调工程,通风管道部件制作安装,是,自动排气阀,partial_match,91.1,
030703023,030703023,人防手动密闭阀,通风空调工程,通风管道部件制作安装,是,密闭阀,partial_match,88.6,
030703024,030703024,人防其他部件,通风空调工程,通风管道部件制作安装,否,,,,待补全
030305001,030305001,联合平台,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,否,,,,待补全
030305002,030305002,平台,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,是,上料平台,partial_match,85.0,
030305003,030305003,梯子、栏杆、扶手,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,否,,,,待补全
030305004,030305004,桁架、管廊、设备框架、单梁结构,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,是,结构胶,fuzzy_name,72.0,
030305005,030305005,漏斗、料仓,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,否,,,,待补全
030305006,030305006,烟囱、烟道,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,否,,,,待补全
030305007,030305007,双层保温成品烟囱,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,否,,,,待补全
030305008,030305008,火炬及排气筒,静置设备与工艺金属结构制作安装工程,工艺金属结构安装,是,打气筒,fuzzy_name,72.0,
030307001,030307001,撬块,静置设备与工艺金属结构制作安装工程,撬块安装,否,,,,待补全
030308001,030308001,X射线探伤,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308002,030308002,Y射线探伤,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308003,030308003,超声波探伤,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308004,030308004,磁粉探伤,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308005,030308005,渗透探伤,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308006,030308006,整体热处理,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308007,030308007,光谱分析,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030308008,030308008,焊缝热处理,静置设备与工艺金属结构制作安装工程,无损检测与热处理,否,,,,待补全
030304001,030304001,气柜,静置设备与工艺金属结构制作安装工程,气柜制作安装,否,,,,待补全
030303001,030303001,球形罐组对,静置设备与工艺金属结构制作安装工程,球形罐组对安装,是,球形锁,fuzzy_name,72.0,
030302001,030302001,拱顶罐,静置设备与工艺金属结构制作安装工程,金属油罐制作安装,否,,,,待补全
030302002,030302002,浮顶罐,静置设备与工艺金属结构制作安装工程,金属油罐制作安装,否,,,,待补全
030302003,030302003,大型金属油罐,静置设备与工艺金属结构制作安装工程,金属油罐制作安装,否,,,,待补全
030302004,030302004,加热器,静置设备与工艺金属结构制作安装工程,金属油罐制作安装,否,,,,待补全
030306001,030306001,容器,静置设备与工艺金属结构制作安装工程,铝制、铸铁、非金属设备安装,否,,,,待补全
030306002,030306002,塔器,静置设备与工艺金属结构制作安装工程,铝制、铸铁、非金属设备安装,否,,,,待补全
030306003,030306003,热交换器,静置设备与工艺金属结构制作安装工程,铝制、铸铁、非金属设备安装,是,热交换器,exact_name,100.0,
030301001,030301001,容器,静置设备与工艺金属结构制作安装工程,静置设备,是,容器板,partial_match,88.3,
030301002,030301002,塔器,静置设备与工艺金属结构制作安装工程,静置设备,否,,,,待补全
030301003,030301003,热交换器类设备,静置设备与工艺金属结构制作安装工程,静置设备,否,,,,待补全
030301004,030301004,空气冷却器,静置设备与工艺金属结构制作安装工程,静置设备,否,,,,待补全
030301005,030301005,反应器,静置设备与工艺金属结构制作安装工程,静置设备,是,加氢反应器耐酸衬里,partial_match,81.7,
030301006,030301006,电解槽,静置设备与工艺金属结构制作安装工程,静置设备,否,,,,待补全
030301007,030301007,电除雾器,静置设备与工艺金属结构制作安装工程,静置设备,是,本安型人体静电消除器,fuzzy_name,67.5,
030301008,030301008,电除尘器,静置设备与工艺金属结构制作安装工程,静置设备,是,本安型人体静电消除器,fuzzy_name,67.5,
